Lon,Lat,LMZ,Stat_Area,EEZ,LMZ_MA,Depth,Distant_Offshore
-74.25,38.3,NA,621,EEZ Nearshore Management Area 5,0,-53,0.810416997
-74.2,38.3,NA,621,EEZ Nearshore Management Area 5,0,-56,0.859981051
-74.15,38.3,NA,621,EEZ Nearshore Management Area 5,0,-59,0.909592826
-74.1,38.3,NA,621,EEZ Nearshore Management Area 5,0,-62,0.959244916
-74.05,38.3,NA,621,EEZ Nearshore Management Area 5,0,-65,1.008931369
-74,38.3,NA,622,EEZ Nearshore Management Area 5,0,-68,1.052658145
-73.95,38.3,NA,622,EEZ Nearshore Management Area 5,0,-69,1.090474012
-73.9,38.3,NA,622,EEZ Nearshore Management Area 5,0,-71,1.129237783
-73.85,38.3,NA,622,EEZ Offshore Management Area 3,0,-83,1.168855154
-73.8,38.3,NA,622,EEZ Offshore Management Area 3,0,-99,1.20924223
-73.75,38.3,NA,622,EEZ Offshore Management Area 3,0,-112,1.248743657
-73.7,38.3,NA,622,EEZ Offshore Management Area 3,0,-119,1.278007767
-73.65,38.3,NA,622,EEZ Offshore Management Area 3,0,-137,1.306478914
-73.6,38.3,NA,622,EEZ Offshore Management Area 3,0,-323,1.336214972
-73.55,38.3,NA,622,EEZ Offshore Management Area 3,0,-568,1.367133407
-73.5,38.3,NA,622,EEZ Offshore Management Area 3,0,-746,1.399155836
-73.45,38.3,NA,622,EEZ Offshore Management Area 3,0,-1234,1.432208209
-73.4,38.3,NA,622,EEZ Offshore Management Area 3,0,-1423,1.465878687
-73.35,38.3,NA,622,EEZ Offshore Management Area 3,0,-1684,1.499350901
-73.3,38.3,NA,622,EEZ Offshore Management Area 3,0,-1822,1.533722897
-73.25,38.3,NA,622,EEZ Offshore Management Area 3,0,-1931,1.568935538
-73.2,38.3,NA,622,EEZ Offshore Management Area 3,0,-2188,1.604933495
-73.15,38.3,NA,622,EEZ Offshore Management Area 3,0,-2202,1.641665107
-73.1,38.3,NA,622,EEZ Offshore Management Area 3,0,-2257,1.679082226
-74.95,38.35,NA,621,EEZ Nearshore Management Area 5,0,-15,0.117853937
-74.9,38.35,NA,621,EEZ Nearshore Management Area 5,0,-15,0.164266883
-74.85,38.35,NA,621,EEZ Nearshore Management Area 5,0,-20,0.21160177
-74.8,38.35,NA,621,EEZ Nearshore Management Area 5,0,-24,0.259936548
-74.75,38.35,NA,621,EEZ Nearshore Management Area 5,0,-25,0.308802055
-74.7,38.35,NA,621,EEZ Nearshore Management Area 5,0,-29,0.357981018
-74.65,38.35,NA,621,EEZ Nearshore Management Area 5,0,-35,0.407359926
-74.6,38.35,NA,621,EEZ Nearshore Management Area 5,0,-36,0.456873953
-74.55,38.35,NA,621,EEZ Nearshore Management Area 5,0,-35,0.506483473
-74.5,38.35,NA,621,EEZ Nearshore Management Area 5,0,-40,0.556162933
-74.45,38.35,NA,621,EEZ Nearshore Management Area 5,0,-36,0.60589513
-74.4,38.35,NA,621,EEZ Nearshore Management Area 5,0,-35,0.655668063
-74.35,38.35,NA,621,EEZ Nearshore Management Area 5,0,-41,0.70547311
-74.3,38.35,NA,621,EEZ Nearshore Management Area 5,0,-48,0.755303918
-74.25,38.35,NA,621,EEZ Nearshore Management Area 5,0,-54,0.805155705
